P_NAME,P_MASS,P_PERIOD,P_SEMI_MAJOR_AXIS,S_DISTANCE,S_MASS,S_RADIUS,S_TEMPERATURE,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,S_LUMINOSITY,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI
Ross 128 b,1.3984432,9.8658,0.0496,3.38,0.17,0.20900001,3231,0.049933709,1.7454503,292.09208,0.004265099,0,0,0,0.8046835
Ross 458 c,1997.6634,,1168,11.51,0.49,0.63,3621,1168,4.48E-08,3.7067598,0.061134145,0,0,0,0.065649815
SR 12 AB c,4131.764,,,112.32,,,,,,,,0,0,0,
SWEEPS-11 b,3082.9316,1.796,0.03,8500,1.1,1.45,,0.03,,,,0,0,0,
SWEEPS-4 b,1207.7464,4.2,0.055,8500,1.24,1.18,,0.055,,,,0,0,0,
TAP 26 b,527.59448,10.79,0.0968,147,1.04,1.17,4620,0.0968,59.63175,707.96909,0.55876381,0,0,0,0.084120331
TCP J05074264+2447555 b,9.2011207,,0.5,380,0.25,,,0.5,,,,0,0,0,
TOI 150.01,556.19901,5.857342,0.0583,336,1.25,1.55,6003,0.0583,822.40986,1364.3223,2.7952806,0,0,0,0.060046401
TOI 172 b,1722.6278,9.47725,0.0914,336.47,1.13,1.78,5645,0.098019936,373.1406,1087.7374,2.8826004,0,0,0,0.083620654
TOI 216.01,199.99963,34.556,0.2069,178.84,0.87,0.84,5026,0.206987,9.4275506,446.35059,0.40340117,0,0,0,0.17714874
TOI 216.02,29.999785,17.089,0.1293,178.84,0.87,0.84,5026,0.13042646,24.342043,564.03333,0.40340117,0,0,0,0.15115962
TOI 270 b,,3.36008,0.0306,22.45,0.4,0.38,3386,0.0306,18.16188,525.93868,0.017006058,0,0,0,0.36203603
TOI 270 c,,5.660172,0.0472,22.45,0.4,0.38,3386,0.0472,7.6334288,423.47212,0.017006058,0,0,0,0.38236826
TOI 270 d,,11.38014,0.0733,22.45,0.4,0.38,3386,0.0733,3.1651603,339.81601,0.017006058,0,0,0,0.55248359
TRAPPIST-1 b,0.84860077,1.5108708,0.01111,12.43,0.08,0.12,2559,0.011146446,4.4971105,370.54636,0.000553264,0,0,0,0.54918552
TRAPPIST-1 c,1.3793735,2.4218233,0.01521,12.43,0.08,0.12,2559,0.015262391,2.3997995,316.68392,0.000553264,0,0,0,0.70827555
TRAPPIST-1 d,0.40999812,4.04961,0.02144,12.43,0.08,0.12,2559,0.021492528,1.2065612,266.76719,0.000553264,1,0,1,0.88802761
TRAPPIST-1 e,0.61976461,6.099615,0.02817,12.43,0.08,0.12,2559,0.028271764,0.69973431,232.69554,0.000553264,1,1,1,0.87158977
TRAPPIST-1 f,0.68015193,9.20669,0.0371,12.43,0.08,0.12,2559,0.037173625,0.40276158,202.8071,0.000553264,1,1,1,0.69858308
TRAPPIST-1 g,1.3412342,12.35294,0.0451,12.43,0.08,0.12,2559,0.045183909,0.27251393,183.94526,0.000553264,1,1,1,0.59338193
TRAPPIST-1 h,,18.767,,12.43,0.08,0.12,2559,0.059539171,0.15607262,160.13143,0.000553264,0,0,0,0.47411884
TYC 1422-614-1 b,794.57001,198.4,0.69,759,1.15,6.85,4806,0.691242,47.194329,667.30403,22.428739,0,0,0,0.089709583
TYC 1422-614-1 c,3178.28,559.3,1.37,759,1.15,6.85,4806,1.3715782,11.963675,473.61261,22.428739,0,0,0,0.15153785
TYC 3318-01333-1 b,1086.9718,562,1.414,497.41,1.19,5.9,4776,1.42079,8.1554266,429.7554,16.227437,0,0,0,0.17956102
TYC 3667-1280-1 b,1716.2712,26.468,0.21,481,1.87,6.26,5130,0.21013608,551.75946,1234.4592,24.31682,0,0,0,0.071667168
TYC 4282-00605-1 b,3426.1859,101.54,0.422,700,0.97,16.21,4300,0.4385424,470.79557,1168.8178,80.487511,0,0,0,0.073907937
Teegarden's Star b,1.0488324,4.91,0.0252,3.83,0.09,0.11,2904,0.0252,1.2141138,267.42977,0.000771011,1,0,1,0.93120767
Teegarden's Star c,1.1092197,11.409,0.0443,3.83,0.09,0.11,2904,0.0443,0.39287375,201.70105,0.000771011,1,1,1,0.69151033
TrES-1 b,266.97552,3.03007,,160.39,1.04,0.85,5230,0.04151029,281.07467,1043.1586,0.48432095,0,0,0,0.074091244
TrES-2 b,473.56372,2.47063,,216.66,1.36,1.12,5850,0.039618162,838.60897,1370.9916,1.3162796,0,0,0,0.060804304
TrES-3 b,607.05149,1.3061858,0.02282,228,0.93,0.83,5650,0.02282,1207.8343,1501.9198,0.62898259,0,0,0,0.061384584
TrES-4 b,247.90584,3.55395,,523.7,1.08,1.66,6200,0.046751083,1669.1225,1628.422,3.6481407,0,0,0,0.051676193
TrES-5 b,568.91213,1.4822469,0.02459,364.1,0.9,0.87,5171,0.02459,801.8779,1355.7261,0.48486999,0,0,0,0.068258973
UKIRT-2017-BLG-001L b,406.81984,,4.18,6300,0.81,,,4.18,,,,0,0,0,
